   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL). Berkeley. CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(110)-3d
 calculated by Aleanxdre on Mar 10. 2022

   initial angular momentum (li) = 2   msorder=  6   raorder= 4
   photon polarization angle (polar.azimuth) =(   0.0   0.0 ) (deg)

   radius. depth and lattice constant=  10.0.  27.0 and   3.90 angstrom
   cluster size= 502 atoms and spacings=  0.00  0.00  0.00  1.38 angs
   inner potential= 20.0 V  debye and sample temperature= 114. 300 K
   number of valence electrons=  10     bandgap energy=   0.00 eV
   density of bulk=  19.30 g/cm3     molecular weight= 183.49 amu
   effective weight for kind 1-3 =   87.6   47.9   16.0 amu
   half aperture angle=    1.5 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   760    1   19   40  760  ncurve npoint nk ntheta nphi nangle
  177.8    1.0048e-03    1.0638e-03   -5.5478e-02    1.3811e-01
  180.8    1.0284e-03    1.0638e-03   -3.3350e-02    1.1678e-01
  183.8    9.4005e-04    1.0638e-03   -1.1637e-01    7.6329e-02
  186.8    8.3122e-04    1.0638e-03   -2.1867e-01    1.4151e-02
  189.8    7.5944e-04    1.0638e-03   -2.8614e-01   -5.2011e-02
  192.8    7.4804e-04    1.0638e-03   -2.9685e-01   -1.0925e-01
  195.8    6.9744e-04    1.0638e-03   -3.4442e-01   -1.3155e-01
  198.8    6.4723e-04    1.0638e-03   -3.9161e-01   -1.2430e-01
  201.8    8.4457e-04    1.0638e-03   -2.0611e-01   -7.3939e-02
  204.8    1.0719e-03    1.0638e-03    7.5852e-03   -1.2276e-02
  207.8    1.1688e-03    1.0638e-03    9.8613e-02    4.8726e-02
  210.8    1.2822e-03    1.0638e-03    2.0520e-01    5.9913e-02
  213.8    1.4131e-03    1.0638e-03    3.2828e-01    4.6165e-02
  216.8    1.3372e-03    1.0638e-03    2.5692e-01    1.8583e-02
  219.8    1.1646e-03    1.0638e-03    9.4670e-02    7.0970e-03
  222.8    1.1511e-03    1.0638e-03    8.1984e-02   -1.0098e-02
  225.8    1.2471e-03    1.0638e-03    1.7224e-01   -3.6965e-02
  228.8    1.2739e-03    1.0638e-03    1.9744e-01   -4.2979e-02
  231.8    1.1658e-03    1.0638e-03    9.5869e-02    1.0261e-02
  234.8    1.2336e-03    1.0638e-03    1.5955e-01    9.0724e-02
  237.8    1.3738e-03    1.0638e-03    2.9133e-01    1.1273e-01
  240.8    1.4062e-03    1.0638e-03    3.2179e-01    6.1021e-02
  243.8    1.2053e-03    1.0638e-03    1.3300e-01   -3.3798e-02
   7    40  18.85   36.0    1.0    0.0   ----------------------------
  126.8    9.2119e-04    9.3267e-04   -1.2313e-02   -2.0987e-01
  129.8    8.2924e-04    9.3267e-04   -1.1090e-01   -1.0349e-01
  132.8    9.1168e-04    9.3267e-04   -2.2512e-02    3.4658e-03
  135.8    8.9857e-04    9.3267e-04   -3.6565e-02    7.9747e-02
  138.8    9.1769e-04    9.3267e-04   -1.6068e-02    1.1311e-01
  141.8    1.1907e-03    9.3267e-04    2.7667e-01    1.0241e-01
  144.8    1.4026e-03    9.3267e-04    5.0380e-01    5.5881e-02
  147.8    1.3365e-03    9.3267e-04    4.3299e-01   -1.6576e-02
  150.8    1.0235e-03    9.3267e-04    9.7339e-02   -9.3915e-02
  153.8    8.4536e-04    9.3267e-04   -9.3612e-02   -1.4675e-01
  156.8    6.6663e-04    9.3267e-04   -2.8525e-01   -1.5306e-01
  159.8    5.3874e-04    9.3267e-04   -4.2237e-01   -1.4104e-01
  162.8    6.1616e-04    9.3267e-04   -3.3936e-01   -9.2934e-02
  165.8    7.2170e-04    9.3267e-04   -2.2621e-01   -4.8643e-02
  168.8    8.0222e-04    9.3267e-04   -1.3987e-01    3.6848e-02
  171.8    8.4971e-04    9.3267e-04   -8.8951e-02    1.2987e-01
  174.8    9.5649e-04    9.3267e-04    2.5538e-02    2.2278e-01
  177.8    1.1434e-03    9.3267e-04    2.2597e-01    2.4050e-01
  180.8    1.1934e-03    9.3267e-04    2.7956e-01    1.6486e-01
  183.8    1.0490e-03    9.3267e-04    1.2474e-01    5.0797e-02
  186.8    8.7317e-04    9.3267e-04   -6.3801e-02   -4.6286e-02
  189.8    8.1113e-04    9.3267e-04   -1.3031e-01   -9.2513e-02
  192.8    7.4004e-04    9.3267e-04   -2.0654e-01   -1.1333e-01
  195.8    6.3736e-04    9.3267e-04   -3.1663e-01   -1.1379e-01
  198.8    5.5135e-04    9.3267e-04   -4.0886e-01   -1.1093e-01
  201.8    5.7178e-04    9.3267e-04   -3.8695e-01   -6.9359e-02
  204.8    7.4363e-04    9.3267e-04   -2.0269e-01   -1.6310e-02
  207.8    9.4772e-04    9.3267e-04    1.6133e-02    4.3011e-02
  210.8    1.2150e-03    9.3267e-04    3.0276e-01    5.0458e-02
  213.8    1.3705e-03    9.3267e-04    4.6941e-01    2.8877e-02
  216.8    1.2259e-03    9.3267e-04    3.1444e-01   -7.7002e-03
  219.8    9.3690e-04    9.3267e-04    4.5358e-03   -3.4854e-02
  222.8    8.3501e-04    9.3267e-04   -1.0471e-01   -5.5301e-02
  225.8    8.6837e-04    9.3267e-04   -6.8946e-02   -5.0986e-02
  228.8    7.9143e-04    9.3267e-04   -1.5143e-01   -5.3545e-03
  231.8    7.9311e-04    9.3267e-04   -1.4963e-01    6.8781e-02
  234.8    9.9422e-04    9.3267e-04    6.5994e-02    1.3974e-01
  237.8    1.2066e-03    9.3267e-04    2.9366e-01    1.3073e-01
  240.8    1.2901e-03    9.3267e-04    3.8328e-01    7.3910e-02
  243.8    1.0891e-03    9.3267e-04    1.6768e-01   -1.2775e-02
   8    40  18.85   39.0    1.0    0.0   ----------------------------
  126.8    7.3988e-04    7.9075e-04   -6.4336e-02   -2.1426e-01
  129.8    7.4149e-04    7.9075e-04   -6.2298e-02   -1.0442e-01
  132.8    6.9479e-04    7.9075e-04   -1.2135e-01    1.9458e-02
